A b c	Bảng chữ cái
Abuser	Người lạm dụng
Abusive	Lạm dụng
Abusively	Lăng mạ, thoá mạ
Abut	Chung biên
Abutting	Giới hạn, tiếp giáp
Abyss	Vực sâu, vực thẳm
Academe	Trường đại học
Academia	Giới học viện
Academy	Học viện
Acaleph	Loài sứa
Acanthi	Cây ô rô
Acanthoma	Bướu gai
Acanthus	Cây ô rô
Accent	Dấu phẩy
Accentual	Dựa vào trọng âm
Accept	Không bác bỏ
Acceptor	Chất tạp nhận
Accesory	Phụ tùng
Accessary	Đồ thêm vào
Accessible	Tới được, đạt được
Accessory	Đồ thêm vào
Accidental	Ngẫu nhiên
Accipiter	Chim ưng
Acclaim	Tiếng hoan hô
Acclivity	Dốc ngược
Acclivous	Dốc ngược
Accorde	Hòa ước
Accost	Đến gần
Accoucheur	Người đỡ đẻ
Account	Kể đến, tính đến
Accounting	Tính tiền
Accoutre	Trang bị cho
Accumbent	Cạp vào
Accumulate	Tích luỹ, tụ
Accuracy	Độ] chính xác
Accurate	Chính xác
Accursal	Sự bị kết tội
Accusal	Sự bị kết tội
Accusation	Sự bị kết tội
Accusatory	Tố cáo
Accuse	Tố cáo
Accused	Bị cáo
Acentral	Không trung tâm
Acephalous	Không có đầu
Acerate	Có đầu nhọn
Acerbic	Chua chát, gay gắt
Acescent	Chua
Acetabulum	Đĩa nhau
Acetify	Làm thành giấm
Acetone	Axeton
Acetous	Chua, có vị giấm
Ache	Sự đau, sự nhức
Achromatic	Vô sắc
Achy	Bị đau nhức
Acicula	Dạng kim
Acidic	Có tính chất axit
Acidify	Axit hoá
Acidimeter	Cái đo axit
Acidity	Độ axit
Acidly	Chua chát, gay gắt
Acidosis	Sự nhiễm axit
Acidulate	Làm cho hơi chua
Acidulated	Hơi chua
Acidulous	Hơi chua
Aciform	Hình kim
Acinaceous	Có hạch
Acinose	Nhiều hạt
Aclimate	Phi khí hậu
Acne	Mụn trứng cá
Acold	Lạnh toát
Acoumeter	Cái đo nghe
Acoustic	Âm chất
Acquaint	Làm quen
Acral	Phía ngoài cùng
Acrid	Hăng, cay sè
Acrocarpic	Thuộc quả ngọn
Acrogynous	Có túi noãn ở ngọn
Acropetal	Hướng ngọn
Acrophily	Tính ưa ngọn
Across	Ngang, qua
Actin	Actino
Actinal	Thuộc tấm toả tia
Acting	Hành động
Actinidia	Cây dương đào
Actiniform	Dạng toả tia
Actinoid	Dạng toả tia
Action	Tác dụng, tác động
Actionable	Có thể kiện
Active	Tích cực
Activeness	Sự tích cực
Activity	Phóng xạ tính
Actor	Kép, kép hát
Actorish	Thuộc diễn viên
Actual	Thực, thực tại
Actuality	Thực tế, thực tại
Actuate	Khởi động
Aculea	Vải thô sơ
Aculeus	Ngòi đốt
Acumineit	Mài nhọn
Acute	Nhọn
Acutely	Sâu sắc
Acyclic	Không tuần hoàn
Ad hoc	Đặc biệt
Ad nauseam	Ad nauseam
Ad valorem	Theo giá hàng
Adage	Ngạn ngữ
Adamant	Kỉ cương
Adamantine	Rắn như kim cương
Adamantly	Cứng rắn
Adamite	Con người
Adapt	Tra vào, lắp vào
Adaptation	Sự thích nghi
Adapter	Bộ điện
Addict	Người nghiện
Addicted	Say mê, nghiện
Addiction	Thói nghiện
Addition	Phép cộng
Additive	Cộng tính
Addle	Lẫn, quẫn, rối trí
Address	Địa chỉ
Adenoidal	Bị bệnh V A
Adequate	Phù hợp, thích hợp
Adequation	Sự san bằng
Adhesion	Tham gia
Adic	Ađic
Adipocyte	Tế bào tạo mỡ
Adipolysis	Sự phân giải mỡ
Adipopexis	Sự tích mỡ
Adipose	Mỡ động vật
Adit	Đường vào, lối vào
Aditus	Lỗ mở
Adjacent	Kề
Adjacently	Cận kề nhau
Adjoin	Chung biên
Adjoint	Liên hợp, phù hợp
Adjudge	Xử, xét xử, phân xử
Adjunction	Sự mở rộng
Adjunctive	Phụ thuộc
Adjust	Thiết lập
Adjuster	Máy điều chỉnh
Adjustment	Sự điều chỉnh
Adjutant	Người phụ tá
Admeasure	Chia phần ra
Admiral	Đô đốc
Admirer	Người ca tụng
Admiring	Ngưỡng mộ
Admissible	Chấp nhận được
Admission	Sự kết nạp
Admitted	Tự nhận
Admix	Trộn lẫn, hỗn hợp
Adnexa	Màng phụ
Adopt	Nhận làm bố mẹ nuôi
Adoptee	Con nuôi
Adopter	Người nhận nuôi
Adoptive	Nhận nuôi
Adorably	Đáng mến, đáng yêu
Adore	Kính yêu, quý mến
Adoring	Tha thiết
Adoringly	Tha thiết, trìu mến
Adpressed	Bò sát
Adrectal	Liền ruột thẳng
Adroit	Khéo léo, khéo tay
Adroitly	Khéo léo
Adromia	Sự mất kích thích
Adulterant	Để làm giả
Adultlike	Có vẻ trưởng thành
Adultoid	Dạng trưởng thành
Adumbral	Nhiều bóng râm
Adumbrate	Phác hoạ
Aduncate	Aduncous
Advantage	Mối lợi
Advantege	Trội hơn ưu thế
Advection	Sự bình lưu
Advehent	Đồng tâm
Advene	Đến
Adventitia	Vỡ mạch máu
Adverbial	Có tính chất phó từ
Adversary	Đối phương, đối thủ
Adversely	Bất lợi
Advert	Nói đến, kể đến
Advertence	Sự chú ý, sự lưu ý
Advertency	Sự chú ý, sự lưu ý
Advertent	Chú ý đến
Advised	Am hiểu, hiểu biết
Advisory	Cho ý kiến, cố vấn
Advocacy	Nhiệm vụ luật sư
Advocate	Luật sư, thầy cãi
Adynamia	Sự kiệt sức
Adze	Rìu lưỡi vòm
Aecial	Aecidial
Aeciospore	Bào tử gỉ
Aeolation	Sự phong hoá
Aeolian	Thông gió
Aeon	Thời đại, niên kỷ
Aerial	Thuộc không khí
Aeriform	Dạng hơi
Aero	Phi thuyền, phi cơ
Aerobe	Vi sinh vật ưa khí
Aerobics	Thể dục nhịp điệu
Aerocyte	Tế bào khí
Aerodrome	Sân bay
Aerofoil	Cánh máy bay
Aerogram	Bức điện rađiô
Aerograph	Máy ghi khí tượng
Aerometer	Cái đo tỷ trọng khí
Aeronaut	Người lái khí cầu
Aeronef	Thiết bị bay
Aerophobia	Aerophoby
Aerophora	Phao khí
Aerophyte	Thực vật biểu sinh
Aeroplane	Máy bay, tàu bay
Aeroport	Sân bay lớn
Aerospace	Không gian vũ trụ
Aerostat	Khí cầu
Aerotaxis	Tính theo khí
Aerotropic	Hướng khí
Aeruginous	Giống màu gỉ đồng
Aesthesia	Cảm giác
Aesthete	Nhà thẩm mỹ
Aesthetes	Giác quan
Aesthetics	Mỹ học
Aestival	Sinh vào mùa hạ
Aether	N
Aetiology	Thuyết nguyên nhân
Afar	Xa, ở xa, cách xa
Afaul	Xung đột với
Afebrile	Hết cơn sốt
Affable	Niềm nở, ân cần
Affair	Việc
Affect	Chạm đến
Affined	Có quan hệ họ hàng
Affirm	Khẳng định
Affix	Phần thêm vào
Affixe	Toạ vi
Afflatus	Cảm hứng
Afforce	Tăng thêm sức lực
Afforest	Biến thành rừng
Affrontive	Vô lễ
Aficionado	Người cuồng nhiệt
Afield	Ra đồng, ra ruộng
Aflagellar	Không lông roi
Aflat	Ngang bằng
Aflatoxin	Độc tố
Afoot	Đi bộ, đi chân
Aforecited	Đã dẫn
Aforegoing	Xảy ra trước đây
Aforehand	Từ trước
Afresh	Lại lần nữa
African	Thuộc Châu phi
Africaness	Đàn bà châu Phi
Afrikaans	Người Hà lan ở Kếp
After	Sau, đằng sau
Afterbrain	Não sau
Afterclap	Việc hậu phát
Aftercrop	Lúa dẻ
Aftergame	Dự định về sau
Afterimage	Dư ảnh
Afterlife	Kiếp sau
Afternoon	Buổi chiều
Afterpiece	Tiết mục hạ màn
Aftersale	Sau khi bán hàng
Aftertaste	Dư vị
Aftertax	Thuế phụ thu
Again	Lại, lần nữa, nữa
Agama	Con nhông
Agameon	Loài vô giao
Agamete	Dạng amip
Agamodeme	Nhóm vô tính
Agamogony	Sự sinh sản vô tính
Agamolium	Thế hệ vô tính
Agamy	Tính vô giao
Agastric	Thiếu dạ dày
Agate	Đá mã não
Agaze	Đang nhìn đăm đăm
Aged	Làm cho già đi
Ageing	Sự hoá già
Ageless	Trẻ mãi không già
Agency	Tác dụng, lực
Agenesia	Agenesis
Agent	Người đại lý
Aggrade	Làm cao lên
Aggregeta	Bộ
Aggressive	Xâm lược, xâm lăng
Aggrieved	Buồn phiền
Aghast	Thất kinh
Agilely	Lẹ làng, lanh lợi
Aging	Sự hoá già
Agiotage	Nghề đổi tiền
Agistment	Đồng cỏ cho thuê
Aglare	Sáng bừng
Agleam	Loé sáng
Aglimmer	Le lói
Aglitter	Lấp lánh
Agnation	Quan hệ phía cha
Agnomen	Tên hiệu, tên lóng
Agnomina	Tên hiệu, tên lóng
Agog	Chờ đợi, mong mỏi
Agonic	Không hợp thành góc
Agonise	Quằn quại đau đớn
Agonize	Quằn quại đau đớn
Agranular	Không hạt
Agreeable	Dễ chịu, dễ thương
Agreeably	Thú vị, dễ chịu
Agreed!	Thành ngữ agree
Agrestic	Ở nông thôn
Agrestral	Agrestrial
Agriotype	Kiểu hoang dã
Agrium	Quần xã cây trồng
Agronomics	Nông học
Agronomist	Nhà nông học
Agronomy	Nông học
Ague	Cơn sốt rét
Aguish	Gây bệnh sốt rét
Aheap	Thành đồng
Ahistoric	Ahistorical
Aiblins	Có lẽ, có thể
Ailing	Sự ốm đau, sự khó ở
Air base	Căn cứ không quân
Air hoist	Máy nhấc khí động
Air map	Bản đồ hàng không
Air pump	Thiết bị bơm hơi
Air scout	Máy bay trinh sát
Airborne	Không vận
Airbrush	Bình sơn xì
Airbuilt	Không tưởng
Aircraft	Máy bay, tàu bay
Aircrash	Tai nạn máy bay
Aircrew	Phi hành đoàn
Airduct	Ống dẫn khí
Airfield	Trường bay, sân bay
Airfoil	Cánh máy bay
Airlift	Cầu hàng không
Airline	Công ty hàng không
Airlock	Nút không khí
Airmanship	Thuật lái máy bay
Airn speed	Tốc độ bay
Airphoto	Ảnh chụp từ máy bay
Airport	Sân bay, phi trường
Airproof	Kín hơi, kín gió
Airscrew	Cánh quạt máy bay
Airshed	Nhà để máy bay
Airship	Khí cầu
Airtight	Kín hơi, kín gió
Airwoman	Nữ phi công
Airy	Ở trên cao
Aitch	Chữ H
Akaryocyte	Hồng cầu
Akaryote	Thiếu nhân
Akimbo	Chống nạnh
Akinesia	Akinesis
Alacrity	Sự sốt sắng
Alar	Hình cánh
Alarmingly	Đáng lo ngại
Albata	Hợp kim mayso
Albatross	Chim hải âu lớn
Albino	Người bạch tạng
Albumen	Lòng trắng, trứng
Albuminous	Có anbumin
Alchemist	Nhà giả kim
Alchemy	Thuật giả kim
Alcohol	Rượu cồn
Alcoholic	Gây nên bởi rượu
Alcyon	Động vật
Aleak	Có lỗ rò, rỉ nước
Aleatory	Ngẫu nhiên
Alecithal	Alecithic
Alegar	Rượu bia chua
Alepidote	Không vẩy
Alertly	Cảnh giác, lanh lợi
Alfresco	Ở ngoài trời
Algebra	Đại số học, đại số
Algebraic	Đại số
Algebraist	Nhà đại số học
Algebroid	Phòng đại số
Algid	Lạnh giá, cảm hàm
Algobrithm	Thuật toán, angôrit
Algologist	Nhà nghiên cứu tảo
Algology	Khoa nghiên cứu tảo
Algometry	Khoa đo đau đớn
Algor	Cảm giác lạnh cóng
Algorism	Thuật toán
Alienate	Làm cho xa lánh
Alienated	Bị bệnh tâm thần
Alienation	Mối bất hoà
Alienor	Người chuyển nhượng
Aliform	Hình cánh
Aligned	Được sắp hàng
Alignment	Sự sắp hàng
Alike	Giống, tương tự
Alima	Ấu trùng alima
Aliment	Đồ ăn
Alimental	Nuôi dưỡng
Aline	Sắp cho thẳng hàng
Alined	Được sắp hàng
Aliquant	Không thể chia hết
Aliquot	Ước số
Alish	Giống như rượu bia
All right	Khoẻ mạnh
Allantoic	Thuộc túi niệu
Allantoid	Dạng khúc dồi
Allargando	Nhạc chậm dần
Allege	Cho là, khẳng định
Allegedly	Allegedly
Allelism	Quan hệ alen
Allelogene	Gen tương ứng
Allelotype	Kiểu tương ứng
Allergen	Dị ứng nguyên
Alley	Ngõ hẻm, phố hẻm
Alligator	Cá sấu Mỹ
Alliterate	Lặp lại âm đầu
Allocarp	Quả lai giống
Allocate	Sắp xếp, phân bố
Allochroic	Thay đổi màu
Allomeric	Khác chất
Allomerism	Tính chất khác
Allorhizal	Có bộ rễ đối ngọn
Allotropic	Khác hình
Allotropy	Tính khác hình
Allow	Cho phép để cho
Allowable	Thừa nhận được
Allowance	Tiền hoa hồng
Allowedly	Được cho phép
Allure	Duyên
Almagest	Sách luyện giả kim
Almond	Quả hạnh
Almoner	Người phát chẩn
Almonry	Nơi phát chẩn
Almost	Hầu như, gần như
Aloft	Cao, ở trên cao
Aloof	Ở xa, tách xa
Aloofness	Sự tách ra
Aloud	Lớn tiếng to
Alpinist	Người leo núi
Alter	Hiệu chỉnh
Alternate	Đan dấu
Alterne	Thực bì luân phiên
Alternion	Anteniôn
Althaea	Cũng althea
Altho	Although
Although	Dẫu cho, mặc dù
Altisonant	Khoa trương
Altitude	Chiều cao, độ cao
Alto	Giọng nam cao
Altogether	Hoàn toàn, hầu
Altruism	Chủ nghĩa vị tha
Alum	Phèn
Aluminium	Nhôm
Aluminous	Có phèn
Alveated	Kết dạng lỗ tổ ong
Alveolate	Có lỗ như tổ ong
Alveoli	Hốc nhỏ, ổ
Alveolitis	Chứng viêm phế nang
Alveolus	Hốc nhỏ, ổ
Amadu	Bùi nhùi
Amaryllis	Hoa loa kèn đỏ
Amateur	Người ham chuộng
Ambages	Thủ đoạn quanh co
Ambassador	Đại sứ
Amber	Hổ phách
Ambergris	Long diên hương
Ambidexter	Thuận cả hai tay
Ambiguity	Tính] nhập nhằng
Ambiparous	Có mầm hoa lá
Ambisexual	Lưỡng tính
Ambition	Hoài bão, khát vọng
Amble	Nước kiệu
Ambler	Ngựa đi nước kiệu
Amblyopic	Bị giảm sức nhìn
Ambon	Vòng sụn
Ambosexual	Lưỡng tính
Ambsace	Vận rủi ro
Ambulacra	Chân ống vận động
Ambulacrum	Chân ống vận động
Ambuscade	Phục kích, mai phục
Amebocyte	Bạch cầu
Ameiosis	Sự không giảm phân
Ameiotic	Không giảm phân
Amendment	Sự cải tà quy chánh
Ameristic	Không chia đốt
Amerospore	Bào tử đơn màng
Ametrous	Không tử cung
Amiable	Tử tế, tốt bụng
Amicron	Phần tử cực nhỏ
Amination	Sự tạo nhóm amin
Amino acid	Axit amin
Amir	Tiểu vương xứ A Rập
Amiss	Bậy
Amitotic	Trực phân
Amity	Quan hệ thân thiện
Amixis	Sự không giao phối
Ammino	Thuộc amin
Ammonify	Amoni hoá
Ammunition	Đạn dược
Amnesia	Chứng quên
Amnesty	Sự ân xá
Amnionic	Thuộc màng ối
Amniote	Động vật có màng ối
Amoeba	Amip
Amoebae	Amip
Among	Trong số
Amongst	Giữa, ở giữa
Amorist	Người ham dục tình
Amorous	Say đắm
Amorously	Say đắm, đắm đuối
Amorphic	Không định hình
Ampersand	Ký hiệu &
Amphinema	Tơ kép, sợi kép
Amphitryon	Người thết tiệc
Amplectant	Bám quanh
Amplify	Khuếch đại
Amply	Dư dả, đầy đủ
Amputator	Người cắt cụt
Amulet	Bùa
Amydalin	Amiđalin
Amygdalic	Giống hạt hạnh
Amygdaloid	Tựa hạt hạnh
Amyloid	Dạng tinh bột
Amyloplast	Hạt bột
Amylose	Chất tạo tinh bột
A.d.	Sau công nguyên
Anabolite	Chất đồng hoá
Anaclastic	Có tính khúc xạ
Anacusia	Cũng anacusis
Anadem	Vòng hoa
Anaerobian	Kỵ khí
Anaerobic	Kỵ khí
Anaglyph	Đồ chạm nổi thấp
Anakinetic	Tạo nhiệt
Analecta	Sách văn tuyển
Analects	Sách văn tuyển
Analog	Tương tự
Analogus	Tương tự
Analphabet	Người mù chữ
Analyses	Sự phân tích
Analysis	Sự phân tích
Analytical	Dùng phép phân tích
Analytics	Môn phân tích
Analyze	Phân tích
Analyzer	Phân tích
Anamnesis	Ký ức
Anamnia	Anamniote
Anapolysis	Liền đốt
Anarchic	Vô chính phủ
Anarchical	Vô chính phủ
Anastral	Không thể sao
Anathema	Lời nguyền rủa
Anatomise	Mổ xẻ, giải phẫu
Anatomize	Mổ xẻ, giải phẫu
Anatomy	Thuật mổ xẻ
Anatoxin	Giải độc tố
Anatta	Màu cá vàng
Anatto	Màu cá vàng
Anaxial	Không đối xứng
Ancestor	Ông bà, tổ tiên
Ancestral	Di truyền
Ancestress	Bà, tổ mẫu
Anchored	Đậu, tả neo
Anchoret	Người ở ẩn, ẩn sĩ
Anchorite	Người ở ẩn, ẩn sĩ
Anchorless	Không có neo
Anchylose	Làm cứng khớp
Ancillary	Bổ sung, phụ thuộc
Ancipital	Ancipitous
Ancistroid	Dạng ngạnh
Anconeal	Thuộc khủyu tay
Anconeus	Cơ khủyu
Andric	Nhị
Androgamic	Thụ tinh
Androgen	Hocmon nam
Androgyne	Người ái nam ái nữ
Androphore	Cuống túi đực
Androsome	Thể đực
Androspore	Bào tử đực
Anele	Bôi dầu, thoa dầu
Anemogamic	Anemogamous
Anemogram	Biểu đồ gió
Anemometry	Phép đo gió
Anemoscope	Máy nghiệm gió
Anemotaxis	Tính theo gió
Anenterous	Không ruột
Anergia	Cũng anergy
Anesthesia	Sự mất cảm giác
Anestrum	Thời kỳ đình dục
Aneurine	Cũng aneurin
Anew	Bằng cách khác
Angel cake	Bánh ngọt nhẹ xốp
Angel fish	Cá có vây như cánh
Angelic	Siêu nhân
Angelical	Siêu nhân
Angelology	Thiên sử học
Anger	Mối giận
Angioblast	Nguyên bào mạch
Angiocarp	Quả bọc, quả kín
Angle	Góc
Angled	Có góc, có góc cạnh
Angler	Người câu cá
Angleworm	Giun làm mồi câu
Anglice	Bằng tiếng Anh
Anglicise	Anh hoá
Anglicism	Từ ngữ đặc Anh
Anglicize	Anh hoá
Angling	Sự đi câu cá
Anglomania	Sự sùng Anh
Anglophile	Thân Anh
Anglophobe	Bài Anh
Anglophone	Nói tiếng Anh
Angrily	Tức giận, giận dữ
Angry	Giận, tức giận, cáu
Anguished	Đau khổ
Angularly	Có góc, có góc cạnh
Angulate	Có góc, có góc cạnh
Angulous	Có góc
Anharmonic	Phi điều hoà, kép
Anigh	Gần
Anil	Cây chàm
Anile	Có tính bà già
Animal	Động vật, thú vật
Animalcule	Vi động vật
Animalise	Động vật hoá
Animalize	Động vật hoá
Animosity	Tình trạng thù địch
Animus	Tinh thần phấn chấn
Aniseed	Hạt anit
Anisette	Rượu anit
Anisocoria	Đồng tử không đều
Anisogene	Gen không đồng nhất
Anisoploid	Có số bội lẻ
Anisospore	Bào tử không đều
Ankle	Mắt cá chân
Ankyroid	Dạng neo
Anlace	Kiếm ngắn
Annatto	Màu vàng đỏ
Annexation	Sự thêm vào
Announcer	Xướng ngôn viên
Annoying	Chọc tức
Annually	Hàng năm, năm một
Annul	Làm triệt tiêu
Annular	Có hình khuyên
Annulation	Sự kết thành vòng
Annuloid	Dạng vòng
Annulus	Hình khuyên
Anode	Anôt, dương cực
Anoestrous	Thời kỳ đình dục
Anomal	Điều] dị thường
Anonym	Biệt hiệu, bí danh
Anonymity	Tình trạng nặc danh
Anonymous	Nặc danh
Anormalous	Khác thường
Another	Khác
Ansate	Có quai
Ansiform	Dạng quai
Answer	Nhận
Answerable	Có thể trả lời được
Antagonism	Sự phản kháng
Antagonist	Vật đối kháng
Antapex	Đối đỉnh
Antarctic	Ở về phía Nam cực
Anteapical	Đối ngọn
Antecoxa	Mảnh trước háng
Antedorsal	Trước lưng
Antefrons	Mảnh kề trán
Antehill	Tổ kiến
Antelabrum	Mảnh trước môi
Antemetics	Thuốc chống nôn
Antenna	Anten
Antennifer	Hốc râu
Anteroom	Phòng chờ
Antheap	Tổ kiến
Anthela	Cụm hoa sim
Anthem	Bài hát vui
Anthophagy	Sự sống bằng ăn hoa
Anthophily	Tính thích hoa
Anthophore	Cuống hoa
Anthophyte	Thực vật có hoa
Anthozoa	San hô
Anthracite	Antraxit
Anthropic	Anthropical
Anthropoid	Dạng người
Anti	Chống lại
Antialien	Bài ngoại
Antianemic	Chống thiếu máu
Antiauxin	Chất kháng auxin
Antibiosis	Sự kháng sinh
Antibiotic	Kháng sinh
Antibody	Thể kháng
Anticancer	Anticancerous
Antichurch	Chống lại nhà thờ
Anticlimax	Sự giảm xuống
Anticosine	Accosin
Antidotal	Giải độc
Antidote	Thuốc giải độc
Antiemetic	Thuốc chống nôn mửa
Antifebrin	Hạ sốt
Antiform	Phản dạng
Antifraud	Chống gian lận
Antigen	Kháng nguyên
Antigenus	Đối giống
Antileft	Chống hữu
Antilobium	Gờ loa tai
Antilogy	Ý nghĩa mâu thuẫn
Antimatter	Phản vật chất
Antimere	Đoạn đối xứng
Antimiotic	Kìm hãm gián phân
Antimorph	Gen đối
Antimycin	Kháng thể
Antinode	Bụng
Antinomian	Ngườii chống đạo lý
Antinomy	Nghịch lý
Antipapal	Chống giáo hoàng
Antiparty	Chống đảng
Antipathic	Có ác cảm
Antipathy	Ác cảm
Antipepsin	Chất kháng nguyên
Antiphonal	Hát đối
Antiphony	Bài thánh ca
Antipodean	Đối cực
Antipoison	Thuốc giải độc
Antipole	Cực đối
Antiquary	Nhà khảo cổ
Antiquate	Làm cho thành cổ
Antiquated	Cổ, cổ xưa, cũ kỹ
Antiquely	Theo lối cổ
Antiquity	Tình trạng cổ xưa
Antirabic	Phòng bệnh dại
Antirights	Phản quyền lợi
Antiriot	Chống bạo loạn
Antirust	Chống gỉ
Antisepsis	Sự khử trùng
Antiseptic	Khử trùng
Antisine	Acsin
Antislip	Chống tuột
Antisocial	Phản xã hội
Antisquama	Vảy kề gốc cánh
Antistatic	Chống tựnh điện
Antistyle	Mấu gốc lông cứng
Antitagent	Actang
Antitank	Chống xe tăng
Antitax	Chống thuế
Antitegula	Vảy kề gốc cánh
Antitheism	Thuyết vô thần
Antitheses	Phép đối chọi
Antitone	Đs phản tự
Antitoxic	Trừ độc, tiêu độc
Antitumour	Antitumoural
Antiunion	Chống hợp nhất
Antivenene	Thuốc giải độc
Antivenin	Thuốc chữa rắn cắn
Antiviral	Chống virut
Antiwar	Chống chiến tranh
Antiwhite	Chống da trắng
Antlered	Có gạc
Antonym	Từ trái nghĩa
Anuria	Bệnh khó đái
Anuroid	Dạng không đuôi
Anuual	Hằng năm
Anvil	Cái đe
Anxiety	Sự lo lắng
Anyone	Người nào, ai
Anytime	Bất cứ lúc nào
Apache	Tên côn đồ
Apart	Riêng ra, xa ra
Apartment	Căn phòng, buồng
Apelike	Giống như khỉ
Aperient	Nhuận tràng
Aperiodic	Không tuần hoàn
Aperitif	Rượu khai vị
Aperitive	Nhuận tràng
Aperture	Khẩu độ, lỗ hổng
Apex	Đỉnh, chóp
Aphidicide	Thuốc trừ rệp rừng
Aphonic	Mất tiếng
Aphonous	Mất tiếng
Aphorism	Cách ngôn
Aphotic	Thiếu ánh sáng
Apiarist	Người nuôi ong
Apiary	Đỗ ong
Apices	Đỉnh ngọc, chỏm
Apiculture	Nghề nuôi ong
Apiculus	Đỉnh nhỏ
Apileate	Không chóp
Apish	Ngớ ngẩn như khỉ
Apishness	Sự giống khỉ
Apitoxin	Nọc ong
Apivorous	Ăn ong
Aplerotic	Vơi, không đầy
Aplomb	Thế thẳng đứng
Apobiotic	Chết sinh lý
Apocentric	Ly tâm
Apocrine	Tiết rụng đầu
Apodal	Không chân
Apodous	Không chân
Apogamety	Tính vô giao tử
Apogee	Tuyệt đích
Apolar	Liên hợp
Apolarity	Tính không cực
Apolegamic	Giao phối chọn lọc
Apolitical	Không chính trị
Apollyon	Con quỷ
Apologetic	Biện hộ, biện giải
Apologise	Xin lỗi, tạ lỗi
Apologize	Xin lỗi, tạ lỗi
Apophthegm	Cách ngôn
Apostolate	Chức tông đồ
Apothegm	Cách ngôn
Apothem	Trung đoạn
Apotropic	Hướng gốc
Apotype	Kiểu gốc
Apotypic	Thuộc kiểu gốc
Appalling	Kinh khủng
Apparatus	Máy móc, công cụ
Apparent	Bề ngoài
Appeal	Lời kêu gọi
Appealing	Van lơn, cầu khẩn
Appease	Dỗ dành
Append	Nối kết
Appendage	Phụ kiện
Appendant	Phụ thuộc vào
Appendical	Phần phụ
Appendices	Phụ lục
Appetiser	Rượu khai vị
Appetizer	Rượu khai vị
Applanate	Dẹt
Applaud	Khen ngợi
Applauder	Người hay khen
Apple	Quả táo
Applecart	Giống như upset
Applejack	Rượu táo
Applicable	Thích dụng
Applicant	Người thỉnh cầu
Applied	Được ứng dụng
Apply	Ứng dụng
