A b c	Bảng chữ cái
Absolutely	Một cách tuyệt đối
Absolvable	Xem absolve
Absolve	Miễn trách
Absolver	Xem absolve
Absonant	Không hợp điệu, không hoà hợp
Absorb	Hấp thu, hút thu
Absorbable	Có thể bị hút
Absorbedly	Say mê, chăm chú
Absorbency	Xem absorbent
Absorbent	Hút nước, thấm hút
Absorber	Bộ đệm
Absorption	Sự hấp thu, sự thu hút
Absorptive	Hút thu
Abstain	Kiêng, kiêng khem, tiết chế
Abstainer	Người kiêng rượu
Abstaining	Sự kiêng khem
Abstemious	Tiết chế, có điều độ
Absterge	Tẩy, làm sạch
Abstergent	Tẩy, làm sạch
Abstersion	Sự tẩy sạch, sự làm sạch
Abstersive	Tẩy, làm sạch
Abstinent	Kiêng khem
Abstract	Tóm tắt, trích yếu
Abstracted	Lơ đãng
Abstracter	Xem abstract
Abstractly	Xem abstract
Abstrahent	Trừu tượng, khó hiểu
Abstruse	Khó hiểu
Abstrusely	Thâm thúy, sâu sắc
Absurd	Vô nghĩa, vô lý, phi lý
Absurdity	Tính] vô nghĩa, vô lý, phi lý
Absurdly	Vô lý
Abtruse	Khó hiểu
Abulic	Xem abulia
Abundance	Sự thừa thãi, sự dư dật
Abundant	Thừa
Abundantly	Nhiều
Abuse	Sự lạm dụng, sự lộng hành
Abuser	Người lạm dụng
Abusive	Lạm dụng
Abusively	Lăng mạ, thoá mạ
Abut	Chung biên
Abutting	Giới hạn, tiếp giáp
Abuzz	Đầy tiếng rì rầm, ồn ào
Abysmally	Thậm tệ, cùng cực, vô cùng
Abyss	Vực sâu, vực thẳm
Academe	Trường đại học
Academese	Phong cách hàn lâm viện
Academia	Giới học viện
Academy	Học viện
Acaleph	Loài sứa
Acanthi	Cây ô rô
Acanthoma	Bướu gai
Acanthus	Cây ô rô
Acapsular	Không nang, không vỏ
Acaulosia	Sự không phát triển thân
Accedence	Xem accede
Acceder	Xem accede
Accelerate	Tăng tốc, gia tốc, làm nhanh
Accent	Dấu phẩy
Accentual	Dựa vào trọng âm
Accept	Không bác bỏ
Acceptance	Sự nhận, sự thu nhận
Acceptor	Chất tạp nhận
Accesory	Phụ tùng
Accessary	Đồ thêm vào
Accessible	Tới được, đạt được
Accessibly	Xem accessible
Accession	Sự đến gần, sự tiếp kiến
Accessory	Đồ thêm vào
Accidental	Ngẫu nhiên
Accipiter	Chim ưng
Accipitral	Như chim ưng
Acclaim	Tiếng hoan hô
Acclaimer	Xem acclaim
Acclivity	Dốc ngược
Acclivous	Dốc ngược
Accomplice	Kẻ tòng phạm, kẻ đồng loã
Accorde	Hòa ước
Accost	Đến gần
Accoucheur	Người đỡ đẻ
Account	Kể đến, tính đến
Accounting	Tính tiền
Accoutre	Trang bị cho
Accrual	Sự dồn lại, sự tích lại
Accruement	Sự dồn lại, sự tích lại
Accumbent	Cạp vào
Accumulate	Tích luỹ, tụ
Accuracy	Độ] chính xác
Accurate	Chính xác
Accurately	Đúng đắn, chính xác, xác đáng
Accursal	Sự bị kết tội
Accursedly	Xem accursed
Accusal	Sự bị kết tội
Accusation	Sự bị kết tội
Accusatory	Tố cáo
Accuse	Tố cáo
Accused	Bị cáo
Accustom	Làm cho quen, tập cho quen
Acellular	Không chia thành tế bào
Acentral	Không trung tâm
Acephalous	Không có đầu
Acerate	Có đầu nhọn
Acerbic	Chua chát, gay gắt
Acerbity	Vị chát, vị chua chát
Acervuline	Thành cụm, thành chùm
Acescent	Chua
Acetabulum	Đĩa nhau
Acetifier	Xem acetify
Acetify	Làm thành giấm
Acetone	Axeton
Acetonic	Xem acetone
Acetous	Chua, có vị giấm
Acetylenic	Xem acetylene
Ache	Sự đau, sự nhức
Acheless	Không đau đớn, không đau xót
Achenial	Xem achene
Achieve	Đạt được, giành được
Achiever	Xem achieve
Achiness	Xem achy
Achromatic	Vô sắc
Achy	Bị đau nhức
Acicula	Dạng kim
Acicular	Kết tinh thành hình kim
Acidic	Có tính chất axit
Acidify	Axit hoá
Acidimeter	Cái đo axit
Acidimetry	Xem acidimeter
Acidity	Độ axit
Acidly	Chua chát, gay gắt
Acid-proof	Chịu axit
Acidness	Xem acid
Acidophyte	Thực vật ưa đất chua
Acidosis	Sự nhiễm axit
Acidulate	Làm cho hơi chua
Acidulated	Hơi chua
Acidulous	Hơi chua
Aciform	Hình kim
Acinaceous	Có hạch
Acinose	Nhiều hạt
Ack-ack	Súng cao su
Aclimate	Phi khí hậu
Acme	Tột đỉnh, đỉnh cao nhất
Acne	Mụn trứng cá
Acned	Xem acne
Acold	Lạnh toát
Acoumeter	Cái đo nghe
Acoustic	Âm chất
Acquaint	Làm quen
Acquest	Vật kiếm được, của cải làm ra
Acquiesce	Bằng lòng ngầm, mặc nhận
Acquirable	Xem acquire
Acquirer	Xem acquire
Acquisitor	Xem acquisitive
Acquitter	Xem acquit
Acral	Phía ngoài cùng
Acrid	Hăng, cay sè
Acridity	Vị hăng, mùi hăng, mùi cay sè
Acridly	Xem acrid
Acrimony	Sự chua cay, sự gay gắt
Acrobatics	Thuật leo dây, thuật nhào lộn
Acrobatism	Thuật leo dây, thuật nhào lộn
Acrocarpic	Thuộc quả ngọn
Acrogynous	Có túi noãn ở ngọn
Acronymic	Xem acronym
Acronymous	Xem acronym
Acropetal	Hướng ngọn
Acrophily	Tính ưa ngọn
Across	Ngang, qua
Actability	Xem act
Actable	Xem act
Actin	Actino
Actinal	Thuộc tấm toả tia
Acting	Hành động
Actinidia	Cây dương đào
Actiniform	Dạng toả tia
Actinoid	Dạng toả tia
Action	Tác dụng, tác động
Actionable	Có thể kiện
Actionably	Xem actionable
Activation	Khởi động, phát động
Activator	Xem activate
Active	Tích cực
Actively	Nhanh nhẹn, linh lợi
Activeness	Sự tích cực
Activity	Phóng xạ tính
Actor	Kép, kép hát
Actorish	Thuộc diễn viên
Actress	Nữ diễn viên, đào hát
Actual	Thực, thực tại
Actuality	Thực tế, thực tại
Actuate	Khởi động
Actuation	Sự thúc đẩy, sự kích thích
Actuator	Thiết bị truyền động [TQ]
Aculea	Vải thô sơ
Aculeus	Ngòi đốt
Acumineit	Mài nhọn
Acute	Nhọn
Acutely	Sâu sắc
Acyclic	Không tuần hoàn
Ad hoc	Đặc biệt
Ad nauseam	Ad nauseam
Ad valorem	Theo giá hàng
Adage	Ngạn ngữ
Adamant	Kỉ cương
Adamantine	Rắn như kim cương
Adamantly	Cứng rắn
Adamic	Của hay giống thời kỳ Adam
Adamite	Con người
Adapt	Tra vào, lắp vào
Adaptation	Sự thích nghi
Adapter	Bộ điện
Addable	Xem add
Addenda	Vật thêm vào, phần thêm vào
Addendum	Phần thêm vào, vật thêm vào
Addible	Xem add
Addict	Người nghiện
Addicted	Say mê, nghiện
Addiction	Thói nghiện
Addictive	Xem addict
Addition	Phép cộng
Additional	Thêm vào, phụ vào, tăng thêm
Additive	Cộng tính
Addle	Lẫn, quẫn, rối trí
Addle-head	Người đầu óc lẫn quẫn
Addle-pate	Người đầu óc lẫn quẫn
Add-on	Thêm vào, tăng năng
Address	Địa chỉ
Adductive	Xem adduct
Adenoidal	Bị bệnh V A
Adenoma	Số nhiều adenomas,  adenomata
Adeptly	Xem adept
Adeptness	Xem adept
Adequacy	Sự phù hợp, sự thích hợp
Adequate	Phù hợp, thích hợp
Adequation	Sự san bằng
Adespota	Những tác phẩm khuyết danh
Adhere	Dính chặt vào, bám chặt vào
Adherence	Top tập hợp các điểm dính
Adherently	Xem adherent
Adhesion	Tham gia
Adhesively	Xem adhesive
Adic	Ađic
Adieu	Vĩnh biệt!
Adios	Interj
Adipocyte	Tế bào tạo mỡ
Adipolysis	Sự phân giải mỡ
Adipopexis	Sự tích mỡ
Adipose	Mỡ động vật
Adit	Đường vào, lối vào
Aditus	Lỗ mở
Adjacence	Sự gần kề, sự kế liền
Adjacency	Sự gần kề, sự kế liền
Adjacent	Kề
Adjacently	Cận kề nhau
Adjectival	Có chức năng tính từ
Adjective	Lệ thuộc, không đứng một mình
Adjoin	Chung biên
Adjoint	Liên hợp, phù hợp
Adjourn	Hoãn, hoãn lại, để lại
Adjudge	Xử, xét xử, phân xử
Adjudgment	Sự xét sử, sự phân xử
Adjunct	Phần phụ, sự bổ sung
Adjunction	Sự mở rộng
Adjunctive	Phụ thuộc
Adjuration	Lời thề, lời tuyên thệ
Adjuratory	Xem adjuration
Adjure	Bắt thề, bắt tuyên thệ
Adjurer	Xem adjure
Adjuror	Xem adjure
Adjust	Thiết lập
Adjustably	Xem adjust
Adjuster	Máy điều chỉnh
Adjustment	Sự điều chỉnh
Adjustor	Xem adjust
Adjutancy	Nhiệm vụ sĩ quan phụ tá
Adjutant	Người phụ tá
Adjuvant	Giúp đỡ, phụ tá, giúp ích
Ad-libber	Xem ad-lib
Admeasure	Chia phần ra
Admeasurer	Xem admeasure
Admirable	Đáng hâm mộ, đáng ngưỡng mộ
Admirably	Đáng phục, đáng ngưỡng mộ
Admiral	Đô đốc
Admire	Ngắm nhìn một cách vui thích
Admirer	Người ca tụng
Admiring	Ngưỡng mộ
Admissible	Chấp nhận được
Admissibly	Xem admissible
Admission	Sự kết nạp
Admissive	Xem admission
Admitted	Tự nhận
Admix	Trộn lẫn, hỗn hợp
Admixture	Sự trộn lẫn, sự hỗn hợp
Admonish	Khiển trách, quở mắng, la rầy
Admonisher	Xem admonish
Admonitory	Khiển trách, quở mắng, la rầy
Adnation	Xem adnate
Adnexa	Màng phụ
Adnominal	Xem adnoun
Adolescent	Đang tuổi thanh niên, trẻ
Adopt	Nhận làm bố mẹ nuôi
Adoptable	Có thể nhận làm bố mẹ nuôi
Adoptee	Con nuôi
Adopter	Người nhận nuôi
Adoption	Sự nhận làm bố mẹ nuôi
Adoptive	Nhận nuôi
Adoptively	Xem adoptive
Adorably	Đáng mến, đáng yêu
Adoration	Sự kính yêu, sự quý mến
Adore	Kính yêu, quý mến
Adoring	Tha thiết
Adoringly	Tha thiết, trìu mến
Adorn	Trang trí, trang hoàng
Adorner	Xem adorn
Adpressed	Bò sát
Adrectal	Liền ruột thẳng
Adrenally	Xem adrenal
Adroit	Khéo léo, khéo tay
Adroitly	Khéo léo
Adroitness	Sự khéo léo, sự khéo tay
Adromia	Sự mất kích thích
Adsorbable	Xem adsorb
Adsorptive	Xem adsorption
Adulate	Nịnh hót, nịnh nọt, bợ đỡ
Adulatory	Nịnh hót, nịnh nọt, bợ đỡ
Adulterant	Để làm giả
Adulterine	Do ngoại tình mà đẻ ra
Adulterous	Ngoại tình, thông dâm
Adultery	Tội ngoại tình, tội thông dâm
Adultlike	Có vẻ trưởng thành
Adultness	Xem adult
Adultoid	Dạng trưởng thành
Adumbral	Nhiều bóng râm
Adumbrate	Phác hoạ
Aduncate	Aduncous
Advancer	Xem advance
Advantage	Mối lợi
Advantege	Trội hơn ưu thế
Advection	Sự bình lưu
Advehent	Đồng tâm
Advene	Đến
Adventism	Chúa sắp tái giáng sinh
Adventitia	Vỡ mạch máu
Adventure	Phiêu lưu, mạo hiểm, liều
Adverbial	Có tính chất phó từ
Adversary	Đối phương, đối thủ
Adversely	Bất lợi
Adversity	Cảnh nghịch, vận nghịch
Advert	Nói đến, kể đến
Advertence	Sự chú ý, sự lưu ý
Advertency	Sự chú ý, sự lưu ý
Advertent	Chú ý đến
Advertiser	Người báo cho biết trước
Advice	Lời khuyên, lời chỉ bảo
Advisable	Nên, thích hợp, đáng theo
Advisably	Xem advisable
Advise	Khuyên, khuyên bảo, răn bảo
Advised	Am hiểu, hiểu biết
Advisory	Cho ý kiến, cố vấn
Advocacy	Nhiệm vụ luật sư
Advocate	Luật sư, thầy cãi
Advocator	Xem advocate
Advocatory	Xem advocate
Adynamia	Sự kiệt sức
Adze	Rìu lưỡi vòm
Aecial	Aecidial
Aeciospore	Bào tử gỉ
Aecium	Số nhiều aecia
Aedeagus	Thể giao cấu, dương cụ
Aeolation	Sự phong hoá
Aeolian	Thông gió
Aeon	Thời đại, niên kỷ
Aerate	Làm thông khí, quạt gió
Aeration	Sự làm thông, sự quạt gió
Aerial	Thuộc không khí
Aeriferous	Dẫn không khí, chứa không khí
Aeriform	Dạng hơi
Aerify	Làm hoá ra thể hơi, khí hoá
Aero	Phi thuyền, phi cơ
Aerobat	Phi công nhào lộn trên không
Aerobe	Vi sinh vật ưa khí
Aerobics	Thể dục nhịp điệu
Aerocyte	Tế bào khí
Aerodrome	Sân bay
Aerodyne	Máy bay nặng hơn không khí
Aerofoil	Cánh máy bay
Aerogram	Bức điện rađiô
Aerograph	Máy ghi khí tượng
Aerogun	Súng gắn trên máy bay
Aerolite	Đá trời, thiên thạch
Aerolitic	Xem aerolite
Aerologic	Xem aerology
Aerologist	Xem aerology
Aerometer	Cái đo tỷ trọng khí
Aeronaut	Người lái khí cầu
Aeronef	Thiết bị bay
Aerophobia	Aerophoby
Aerophora	Phao khí
Aerophyte	Thực vật biểu sinh
Aeroplane	Máy bay, tàu bay
Aeroport	Sân bay lớn
Aerospace	Không gian vũ trụ
Aerostat	Khí cầu
Aerostatic	Xem aerostat
Aerotaxis	Tính theo khí
Aerotropic	Hướng khí
Aeruginous	Giống màu gỉ đồng
Aesthesia	Cảm giác
Aesthete	Nhà thẩm mỹ
Aesthetes	Giác quan
Aesthetics	Mỹ học
Aestival	Sinh vào mùa hạ
Aether	N
Aetiology	Thuyết nguyên nhân
Afar	Xa, ở xa, cách xa
Afaul	Xung đột với
Afebrile	Hết cơn sốt
Affability	Sự niềm nở, sự ân cần
Affable	Niềm nở, ân cần
Affably	Lịch sự, niềm nở, ân cần
Affair	Việc
Affect	Chạm đến
Affecter	Xem affect
Affective	Xúc động, dễ xúc động
Afferently	Xem afferent
Affine	Afin
Affined	Có quan hệ họ hàng
Affinity	Phép biến đổi afin
Affirm	Khẳng định
Affirmable	Xem affirm
Affirmably	Xem affirm
Affirmant	Xem affirm
Affirmer	Xem affirm
Affix	Phần thêm vào
Affixable	Xem affix
Affixe	Toạ vi
Affixer	Xem affix
Afflatus	Cảm hứng
Afflicter	Xem afflict
Affluent	Nhiều, dồi dào, phong phú
Affluently	Xem affluent
Afflux	Sự chảy dồn, sự chảy tụ lại
Afforce	Tăng thêm sức lực
Afforest	Biến thành rừng
Affrontive	Vô lễ
Afghan	Người Ap-ga-ni-xtăng
Aficionado	Người cuồng nhiệt
Afield	Ra đồng, ra ruộng
Aflagellar	Không lông roi
Aflat	Ngang bằng
Aflatoxin	Độc tố
Afoot	Đi bộ, đi chân
Aforecited	Đã dẫn
Aforegoing	Xảy ra trước đây
Aforehand	Từ trước
Aforenamed	Đã kể ở trên, đã kể trước đây
Afoul	Chạm vào, húc vào, đâm vào
Afraid	Sợ, hãi, hoảng, hoảng sợ
Afresh	Lại lần nữa
African	Thuộc Châu phi
Africaness	Đàn bà châu Phi
Afrikaans	Người Hà lan ở Kếp
After	Sau, đằng sau
Afterbrain	Não sau
Afterclap	Việc hậu phát
Aftercrop	Lúa dẻ
Aftergame	Dự định về sau
Afterimage	Dư ảnh
Afterlife	Kiếp sau
After-life	Kiếp sau, đời sau
Afternoon	Buổi chiều
Afterpiece	Tiết mục hạ màn
Aftersale	Sau khi bán hàng
Aftertaste	Dư vị
Aftertax	Thuế phụ thu
Afterworld	Kiếp sau, thế giới bên kia
Again	Lại, lần nữa, nữa
Agama	Con nhông
Agameon	Loài vô giao
Agamete	Dạng amip
Agamically	Xem agamic
Agamodeme	Nhóm vô tính
Agamogony	Sự sinh sản vô tính
Agamolium	Thế hệ vô tính
Agamont	Thể phân cắt, thể vô tính
Agamy	Tính vô giao
Agar-agar	Aga,  aga thạch trắng
Agastric	Thiếu dạ dày
Agate	Đá mã não
Agateware	Đồ gốm giống đá mã não
Agaze	Đang nhìn đăm đăm
Aged	Làm cho già đi
Agedly	Xem aged
Agedness	Tuổi già, sự nhiều tuổi
Ageing	Sự hoá già
Ageist	Xem ageism
Ageless	Trẻ mãi không già
Agelessly	Xem ageless
Age-group	Nhóm tuổi
Age-old	Lâu đời
Agency	Tác dụng, lực
Agenesia	Agenesis
Agent	Người đại lý
Ager	Xem age
Aggrade	Làm cao lên
Aggravator	Xem aggravate
Aggreement	Thoả thuận, quy ước, đồng ý
Aggregate	Finite a. tập hợp hữu hạn
Aggregator	Xem aggregate
Aggregeta	Bộ
Aggression	Sự xâm lược, cuộc xâm lược
Aggressive	Xâm lược, xâm lăng
Aggressor	Kẻ xâm lược, nước đi xâm lược
Aggrieve	Làm đau khổ, làm khổ sở
Aggrieved	Buồn phiền
Aghast	Thất kinh
Agilely	Lẹ làng, lanh lợi
Agileness	Xem agile
Aging	Sự hoá già
Agiotage	Nghề đổi tiền
Agip prop	Sự tuyên truyền cổ động
Agist	Nhận cho vật nuôi vào ăn cỏ
Agistment	Đồng cỏ cho thuê
Agitatedly	Xem agitate
Agitative	Xem agitate
Agitprop	Sự tuyên truyền cổ động
Aglare	Sáng bừng
Agleam	Loé sáng
Aglimmer	Le lói
Aglitter	Lấp lánh
Agnatic	Xem agnate
Agnation	Quan hệ phía cha
Agnomen	Tên hiệu, tên lóng
Agnomina	Tên hiệu, tên lóng
Agog	Chờ đợi, mong mỏi
Agon	Số nhiều agones
Agonic	Không hợp thành góc
Agonise	Quằn quại đau đớn
Agonising	Gây đau đớn, gây khổ sở
Agonize	Quằn quại đau đớn
Agranular	Không hạt
Agrarianly	Xem agrarian
Agreeable	Dễ chịu, dễ thương
Agreeably	Thú vị, dễ chịu
Agreed!	Thành ngữ agree
Agreement	Hiệp định, hiệp nghị
Agrestic	Ở nông thôn
Agrestral	Agrestrial
Agriotype	Kiểu hoang dã
Agrium	Quần xã cây trồng
Agrobotany	Thực vật học nông nghiệp
Agronomics	Nông học
Agronomist	Nhà nông học
Agronomy	Nông học
Ague	Cơn sốt rét
Aguish	Gây bệnh sốt rét
Aguishly	Xem ague
Aguishness	Xem ague
Aheap	Thành đồng
Ahistoric	Ahistorical
Aiblins	Có lẽ, có thể
Aider	Xem aid
Aid-man	Hộ lý
Aiguille	Mỏm đá nhọn, núi đá đỉnh nhọn
Ailing	Sự ốm đau, sự khó ở
Air base	Căn cứ không quân
Air beacon	Đèn hiệu cho máy bay
Air brush	Dụng cụ phun sơn bằng khí nén
Air hoist	Máy nhấc khí động
Air map	Bản đồ hàng không
Air pocket	Lỗ hổng không khí loãng
Air pump	Thiết bị bơm hơi
Air raid	Cuộc oanh tạc bằng máy bay
Air scout	Máy bay trinh sát
Air staff	Bộ tham mưu không quân
Air war	Chiến tranh bằng không quân
Airborne	Không vận
Airbrush	Bình sơn xì
Airbuilt	Không tưởng
Aircraft	Máy bay, tàu bay
Aircrash	Tai nạn máy bay
Aircrew	Phi hành đoàn
Airduct	Ống dẫn khí
Airfield	Trường bay, sân bay
Airfoil	Cánh máy bay
Airforce	Lực lượng không quân
Airily	Nhẹ nhàng, uyển chuyển
Airing	Sự làm cho thoáng khí
Airlift	Cầu hàng không
Airline	Công ty hàng không
Airliner	Máy bay dân dụng loại lớn
Airlock	Nút không khí
Air-bed	Nệm hơi
Air-blast	Luồng không khí
Air-boat	Thuyền bay, xuồng bay
Air-brake	Phanh bơi
Air-brick	Gạch có lỗ
Air-cock	Vòi xả hơi
Air-cool	Làm nguội bằng không khí
Air-cooled	Được làm nguội bằng không khí
Air-drain	Đường thông khí
Air-drawn	Không tưởng
Air-gauge	Cái đo khí áp
Air-gun	Súng hơi
Air-hammer	Búa hơi
Air-hole	Lỗ thông hơi
Air-line	Đường hàng không
Air-liner	Máy bay chở hành khách lớn
Air-minded	Thích ngành hàng không
Air-monger	Người hay mơ tưởng hão
Air-pipe	Ống thông hơi
Air-proof	Kín gió, kín hơi
Air-pump	Bơm hơi
Air-route	Đường hàng không
Air-shaft	Hầm mỏ thông gió
Air-speed	Tốc độ của máy bay
Air-strip	Đường băng
Air-tight	Kín gió, kín hơi
Air-to-air	Không đối không
Air-track	Đường hàng không
Air-waves	Làn sóng radio
Airmail	Bưu phẩm gửi bằng máy bay
Airman	Người lái máy bay, phi công
Airmanship	Thuật lái máy bay
Airmonger	Người hay mơ tưởng hão
Airn speed	Tốc độ bay
Airphoto	Ảnh chụp từ máy bay
Airport	Sân bay, phi trường
Airproof	Kín hơi, kín gió
Airscrew	Cánh quạt máy bay
Airshed	Nhà để máy bay
Airship	Khí cầu
Airsick	Say gió khi đi máy bay
Airspace	Vùng trời, không phận
Airstrip	Bãi đáp, bãi hạ cánh
Airtight	Kín hơi, kín gió
Airway	Chiến tranh bằng không quân
Airwoman	Nữ phi công
Airy	Ở trên cao
Aitch	Chữ H
Ajutage	Ajutage
Akaryocyte	Hồng cầu
Akaryote	Thiếu nhân
Akimbo	Chống nạnh
Akin	Thân thuộc, bà con, có họ
Akinesia	Akinesis
Alacritous	Xem alacrity
Alacrity	Sự sốt sắng
Alar	Hình cánh
Alarm	Sự báo động, sự báo nguy
Alarmingly	Đáng lo ngại
Alarmism	Xem alarmist
Albata	Hợp kim mayso
Albatross	Chim hải âu lớn
Albedo	Suất phản chiếu, anbeđô
Albiness	Cô gái sinh ra tóc trắng
Albinistic	Xem albinism
Albino	Người bạch tạng
Albitic	Xem albite
Album	Tập ảnh, quyển anbom
Albumen	Lòng trắng, trứng
Albuminous	Có anbumin
Alchemist	Nhà giả kim
Alchemy	Thuật giả kim
Alcohol	Rượu cồn
Alcoholic	Gây nên bởi rượu
Alcoholise	Cho chịu tác dụng của rượu
Alcoholize	Cho chịu tác dụng của rượu
Alcyon	Động vật
Aldermancy	Xem alderman
Aleak	Có lỗ rò, rỉ nước
Aleatory	Ngẫu nhiên
Alecithal	Alecithic
Alegar	Rượu bia chua
Ale-house	Quán bia
Ale-wife	Bà chủ quán bia
Alepidote	Không vẩy
Alertly	Cảnh giác, lanh lợi
Alertness	Sự tỉnh táo, sự cảnh giác
Aleuronic	Xem aleurone
Alfresco	Ở ngoài trời
Algal	Xem alga
Algebra	Đại số học, đại số
Algebraic	Đại số
Algebraist	Nhà đại số học
Algebroid	Phòng đại số
Algid	Lạnh giá, cảm hàm
Algidity	Sự lạnh giá, sự cảm hàn
Algobrithm	Thuật toán, angôrit
Algologist	Nhà nghiên cứu tảo
Algology	Khoa nghiên cứu tảo
Algometry	Khoa đo đau đớn
Algor	Cảm giác lạnh cóng
Algorism	Thuật toán
Alienate	Làm cho xa lánh
Alienated	Bị bệnh tâm thần
Alienation	Mối bất hoà
Alienism	Tính cách ngoại kiều
Alienor	Người chuyển nhượng
Aliform	Hình cánh
Alight	Cháy, bùng cháy, bốc cháy
Align	Sắp hàng, làm cho bằng nhau
Aligned	Được sắp hàng
Aligner	Xem align
Aligning	Đồng chỉnh, xếp hàng
Alignment	Sự sắp hàng
Alike	Giống, tương tự
Alikeness	Xem alike
Alima	Ấu trùng alima
Aliment	Đồ ăn
Alimental	Nuôi dưỡng
Alimentary	Nuôi dưỡng, dinh dưỡng
Alimony	Sự nuôi cho ăn, sự nuôi dưỡng
Aline	Sắp cho thẳng hàng
Alined	Được sắp hàng
Aliquant	Không thể chia hết
Aliquot	Ước số
Alish	Giống như rượu bia
Alive	Sống, còn sống, đang sống
Aliveness	Xem alive
Alkaloidal	Xem alkaloid
All right	Khoẻ mạnh
Allantoic	Thuộc túi niệu
Allantoid	Dạng khúc dồi
Allargando	Nhạc chậm dần
Allayer	Xem allay
Allegation	Sự viện lý, sự viện lẽ
Allege	Cho là, khẳng định
Allegeable	Xem allege
Alleged	Được cho là, bị cho là
Allegedly	Allegedly
Alleger	Xem allege
Allegiant	Xem allegiance
Allegorise	Xem allegorize
Allegorist	Nhà ngụ ngôn, nhà phúng dụ
